id,displyname,date,pagecount,consultant,authortype,authorDescription,stretergy,notes
862010,Wiltshire Pension Fund,2024-02-29T17:00:00,2,,Institutional Investor,Wiltshire Pension Fund (Institutional Investor),Multiple Asset Classes,"Responsible Investment Plan 2024/2025 -- Responsible Investment Road Map Q2 2024 Investments and strategy: Complete allocations to a nature based fund and listed equities strategy in the Clops portfolio; Q4 2024 Investments and strategy: Investigate best practice ESG integration for bank loans, and make the final affordable housing allocation (pg 2) -- logged as a strategic plan and an investment recommendation for specific asset classes"
862007,Wiltshire Pension Fund,2024-02-29T17:00:00,35,,Institutional Investor,Wiltshire Pension Fund (Institutional Investor),Multiple Asset Classes,Wiltshire Pension Fund Scheme Membership Responsible Investment Survey Results -- January 2024
862492,Los Angeles Water & Power - Retirement Plan,2024-02-28T19:00:00,3,RVK,Institutional Investor,Los Angeles Water & Power - Retirement Plan (Institutional Investor),Multiple Asset Classes,"UPCOMING SEARCH -- ""At its September 27, 2023 regular Board meeting, the Board of Administration (Retirement Board) of the Water and Power Employees' Retirement Plan (Plan) approved a new structure to the Plan's global equity asset class, per Resolution 24-15. This structure increased the Plan's allocation to unconstrained global equity from six percent to ten percent of total equity. As a result of the increased allocation, the Retirement Board authorized staff to begin the Request for Proposal (RFP) process to search for an additional manager to complement the existing mandate managed by Boston Partners"" -- RVK concurs, that the Retirement Board approve the following recommendation: Adopt the new target equity sub-asset class allocations and update the Statement of Investment Objectives, Goals and Guidelines accordingly"" (pg 2) -- logged as asset allocation and investment recommendation "
862491,Los Angeles Water & Power - Retirement Plan,2024-02-28T19:00:00,3,RVK,Institutional Investor,Los Angeles Water & Power - Retirement Plan (Institutional Investor),Equity: Global,"UPCOMING SEARCH -- ""At its September 27, 2023 regular Board meeting, the Board of Administration (Retirement Board) of the Water and Power Employees' Retirement Plan (Plan) approved a new structure to the Plan's global equity asset class, per Resolution 24-15. This structure increased the Plan's allocation to unconstrained global equity from six percent to ten percent of total equity. As a result of the increased allocation, the Retirement Board authorized staff to begin the Request for Proposal (RFP) process to search for an additional manager to complement the existing mandate managed by Boston Partners"" -- RVK concurs, that the Retirement Board approve the following recommendation: Adopt the new target equity sub-asset class allocations and update the Statement of Investment Objectives, Goals and Guidelines accordingly"" (pg 2) -- logged as asset allocation and investment recommendation "
862485,Los Angeles Water & Power - Retirement Plan,2024-02-28T19:00:00,70,StepStone,Consultant,StepStone (Consultant),Real Assets: Real Estate,"Real Estate Quarterly Monitoring Report - For the period ended September 30, 2023"
862484,Los Angeles Water & Power - Retirement Plan,2024-02-28T19:00:00,42,StepStone,Consultant,StepStone (Consultant),Private Equity,"Private Equity Monitoring Report - For the period ended September 30, 2023"
862483,Los Angeles Water & Power - Retirement Plan,2024-02-28T19:00:00,8,,Institutional Investor,Los Angeles Water & Power - Retirement Plan (Institutional Investor),Equity: Global,"Board Agenda Item No. 9: Report on Capital International, Inc. - Extended Global Credit - On-Site Due Diligence Visit"
862481,Los Angeles Water & Power - Retirement Plan,2024-02-28T19:00:00,8,,Institutional Investor,Los Angeles Water & Power - Retirement Plan (Institutional Investor),Fixed Income: United States Floating-Rate / Leveraged / Senior Bank Loans,"Board Agenda Item No. 8: Report on Aristotle Pacific Capital, LLC - On-Site Due Diligence Visit"
862480,Los Angeles Water & Power - Retirement Plan,2024-02-28T19:00:00,1,,Institutional Investor,Los Angeles Water & Power - Retirement Plan (Institutional Investor),Equity: United States Small Cap Value,Investment Manager Summary -- includes fees -- logged as evaluation of manager and fee disclosure 
862479,Los Angeles Water & Power - Retirement Plan,2024-02-28T19:00:00,1,,Institutional Investor,Los Angeles Water & Power - Retirement Plan (Institutional Investor),Equity: United States Small Cap Value,Investment Manager Summary -- includes fees -- logged as evaluation of manager and fee disclosure 
862478,Los Angeles Water & Power - Retirement Plan,2024-02-28T19:00:00,1,,Institutional Investor,Los Angeles Water & Power - Retirement Plan (Institutional Investor),Equity: United States Small Cap Growth,Investment Manager Summary -- includes fees -- logged as evaluation of manager and fee disclosure 
862477,Los Angeles Water & Power - Retirement Plan,2024-02-28T19:00:00,1,,Institutional Investor,Los Angeles Water & Power - Retirement Plan (Institutional Investor),Equity: United States Small Cap Growth,Investment Manager Summary -- includes fees -- logged as evaluation of manager and fee disclosure 
862476,Los Angeles Water & Power - Retirement Plan,2024-02-28T19:00:00,37,,Manager,"EARNEST Partners, LLC (Manager)",Equity: United States Small Cap Value,
862475,Los Angeles Water & Power - Retirement Plan,2024-02-28T19:00:00,76,,Manager,"Emerald Advisers, LLC (Manager)",Equity: United States Small Cap Growth,
862464,Los Angeles Water & Power - Retirement Plan,2024-02-28T19:00:00,8,,Institutional Investor,Los Angeles Water & Power - Retirement Plan (Institutional Investor),Multiple Asset Classes,Investment Manager and Contractor Expiration Report - January 2024
862463,Los Angeles Water & Power - Health Plan,2024-02-28T19:00:00,5,,Institutional Investor,Los Angeles Water & Power - Health Plan (Institutional Investor),Multiple Asset Classes,"Market Values of Investment by Fund - January 1, 2023 thru December 31, 2023 -- logged for both plans "
862462,Los Angeles Water & Power - Retirement Plan,2024-02-28T19:00:00,5,,Institutional Investor,Los Angeles Water & Power - Retirement Plan (Institutional Investor),Multiple Asset Classes,"Market Values of Investment by Fund - January 1, 2023 thru December 31, 2023 -- logged for both plans "
862461,Los Angeles Water & Power - Retirement Plan,2024-02-28T19:00:00,7,,Institutional Investor,Los Angeles Water & Power - Retirement Plan (Institutional Investor),Multiple Asset Classes,"Market Value Reports as of December 31, 2023"
862458,Los Angeles Water & Power - Health Plan,2024-02-28T19:00:00,34,Northern Trust Company,Custodian,Custodian,Multiple Asset Classes,"Total Plan Assets - as of December 31, 2023 -- logged for both plans "
862457,Los Angeles Water & Power - Retirement Plan,2024-02-28T19:00:00,34,Northern Trust Company,Custodian,Custodian,Multiple Asset Classes,"Total Plan Assets - as of December 31, 2023 -- logged for both plans "
862447,Arizona Public Safety - DC Plan,2024-02-28T19:00:00,5,,Institutional Investor,Arizona Public Safety - DC Plan (Institutional Investor),Multiple Asset Classes,SEARCH/RFP INITIATED -- 401(a)/457(b) Defined Contribution Plan Investment Advisor/Consultant 
862436,Arizona Public Safety,2024-02-28T19:00:00,7,,Institutional Investor,Arizona Public Safety (Institutional Investor),Multiple Asset Classes,Payroll Growth and other Actuarial Policies 
862435,Arizona Public Safety,2024-02-28T19:00:00,13,Foster & Foster,Actuary,Actuary,Multiple Asset Classes,Advisory Committee Meeting 
862433,Arizona Public Safety - DC Plan,2024-02-28T19:00:00,1,,Institutional Investor,Arizona Public Safety - DC Plan (Institutional Investor),Multiple Asset Classes,DC Committee Update 
862432,Arizona Public Safety,2024-02-28T19:00:00,17,,Institutional Investor,Arizona Public Safety (Institutional Investor),Multiple Asset Classes,"Fiscal Year 2024 Budget Report - as of January 31, 2024 "
862431,Arizona Public Safety,2024-02-28T19:00:00,58,,Institutional Investor,Arizona Public Safety (Institutional Investor),Multiple Asset Classes,Monthly Investment Report - for period ending 12/31/2023
862429,Arizona Public Safety,2024-02-28T19:00:00,78,NEPC,Consultant,NEPC (Consultant),Multiple Asset Classes,"Quarterly Performance Report - as of December 31, 2023"
862488,Santa Barbara County ERS,2024-02-28T17:00:00,25,RVK,Consultant,RVK (Consultant),Multiple Asset Classes,"Monthly Investment Performance -- Period Ended: January 31, 2024"
862487,Santa Barbara County ERS,2024-02-28T17:00:00,3,RVK,Consultant,RVK (Consultant),Multiple Asset Classes,"Fee Schedule for Public Investment Managers -- as of January 31, 2024"
862486,Santa Barbara County ERS,2024-02-28T17:00:00,9,,Institutional Investor,Santa Barbara County ERS (Institutional Investor),Multiple Asset Classes,Education: Benchmarks
862187,Clwyd,2024-02-28T17:00:00,2,,Institutional Investor,Clwyd (Institutional Investor),Multiple Asset Classes,All Fund Risk Heat Map and Summary of Governance Risks 
862186,Clwyd,2024-02-28T17:00:00,8,,Institutional Investor,Clwyd (Institutional Investor),Multiple Asset Classes,"Equality, Diversity and Inclusion Policy"
862185,Clwyd,2024-02-28T17:00:00,1,,Institutional Investor,Clwyd (Institutional Investor),Multiple Asset Classes,Calendar 2023-24
862183,Clwyd,2024-02-28T17:00:00,16,,Institutional Investor,Clwyd (Institutional Investor),Multiple Asset Classes,Governance Update Memo
862094,Tulare County ERA,2024-02-28T17:00:00,20,,Institutional Investor,Tulare County ERA (Institutional Investor),Multiple Asset Classes,Various Vendor Invoices
862093,Tulare County ERA,2024-02-28T17:00:00,41,,Manager,MacKay Shields LLC (Manager),Fixed Income: United States Aggregate Core/All Durations,
862092,Tulare County ERA,2024-02-28T17:00:00,44,Verus,Consultant,Verus (Consultant),Multiple Asset Classes,Investment Landscape -- 1st Quarter 2024
862091,Tulare County ERA,2024-02-28T17:00:00,93,Verus,Consultant,Verus (Consultant),Multiple Asset Classes,"Investment Performance Review -- Period Ending: December 31, 2023"
862090,Tulare County ERA,2024-02-28T17:00:00,3,Verus,Consultant,Verus (Consultant),Fixed Income: United States Aggregate Core/All Durations,"Passive Core Fixed Income Provider Recommendation -- ""Verus recommends TCERA move forward with the BNY Mellon DB SL Aggregate Bond Index fund."" -- logged as Investment Recommendation and Evaluation-Prospect"
862089,Tulare County ERA,2024-02-28T17:00:00,3,Verus,Consultant,Verus (Consultant),Fixed Income: United States Aggregate Core/All Durations,"Passive Core Fixed Income Provider Recommendation -- ""Verus recommends TCERA move forward with the BNY Mellon DB SL Aggregate Bond Index fund."" -- logged as Investment Recommendation and Evaluation-Prospect"
862086,Tulare County ERA,2024-02-28T17:00:00,2,,Institutional Investor,Tulare County ERA (Institutional Investor),Multiple Asset Classes,Asset Allocation Comparison 1-31-24 - Preliminary Numbers
862085,Tulare County ERA,2024-02-28T17:00:00,3,Verus,Consultant,Verus (Consultant),Multiple Asset Classes,"Executive Summary - Preliminary -- Period Ending: January 31, 2024"
862083,Tulare County ERA,2024-02-28T17:00:00,2,,Institutional Investor,Tulare County ERA (Institutional Investor),Multiple Asset Classes,2024 Trustee Education/Presentation Calendar
862078,Suffolk,2024-02-28T17:00:00,52,Hymans Robertson,Consultant/Institutional Investor,Hymans Robertson (Consultant)/Suffolk (Institutional Investor),Multiple Asset Classes,Investment Performance Report -- Memo (pg 1-8) -- Hymans Robertson Q4 2023 Capital Markets Outlook (pg 9-30) -- Hymans Robertston Q4 2023 Investment Monitoring Report (pg 32-44) -- Manager Meeting Reports (pg 45-52)
862073,University of Maine System Pension Plan,2024-02-28T17:00:00,11,NEPC,Consultant,NEPC (Consultant),Multiple Asset Classes,"Asset Allocation Review -- MIP Asset Allocation (pg 8): ""NEPC is not recommending any changes to asset allocation at this time"" -- Operating Fund Asset Allocation (pg 9): ""NEPC is not recommending changes to the asset allocation"" -- Pension Fund Asset Allocation (pg 10): ""NEPC is not recommending any changes to asset allocation at this time"" -- logged for each Plan"
862072,University of Maine System Operating Fund,2024-02-28T17:00:00,11,NEPC,Consultant,NEPC (Consultant),Multiple Asset Classes,"Asset Allocation Review -- MIP Asset Allocation (pg 8): ""NEPC is not recommending any changes to asset allocation at this time"" -- Operating Fund Asset Allocation (pg 9): ""NEPC is not recommending changes to the asset allocation"" -- Pension Fund Asset Allocation (pg 10): ""NEPC is not recommending any changes to asset allocation at this time"" -- logged for each Plan"
862070,University of Maine System Managed Investment Pool,2024-02-28T17:00:00,11,NEPC,Consultant,NEPC (Consultant),Multiple Asset Classes,"Asset Allocation Review -- MIP Asset Allocation (pg 8): ""NEPC is not recommending any changes to asset allocation at this time"" -- Operating Fund Asset Allocation (pg 9): ""NEPC is not recommending changes to the asset allocation"" -- Pension Fund Asset Allocation (pg 10): ""NEPC is not recommending any changes to asset allocation at this time"" -- logged for each Plan"
862068,University of Maine System Pension Plan,2024-02-28T17:00:00,69,NEPC,Consultant,NEPC (Consultant),Multiple Asset Classes,Supplemental Performance -- Fourth Quarter 2023 -- logged for each Plan
862067,University of Maine System Managed Investment Pool,2024-02-28T17:00:00,69,NEPC,Consultant,NEPC (Consultant),Multiple Asset Classes,Supplemental Performance -- Fourth Quarter 2023 -- logged for each Plan
862065,University of Maine System Pension Plan,2024-02-28T17:00:00,29,NEPC,Consultant,NEPC (Consultant),Multiple Asset Classes,Investment Performance Summary -- Fourth Quarter 2023 -- logged for each Plan
862064,University of Maine System Operating Fund,2024-02-28T17:00:00,29,NEPC,Consultant,NEPC (Consultant),Multiple Asset Classes,Investment Performance Summary -- Fourth Quarter 2023 -- logged for each Plan
862062,University of Maine System Managed Investment Pool,2024-02-28T17:00:00,29,NEPC,Consultant,NEPC (Consultant),Multiple Asset Classes,Investment Performance Summary -- Fourth Quarter 2023 -- logged for each Plan
862056,University of Maine System Operating Fund,2024-02-28T17:00:00,5,NEPC,Consultant,NEPC (Consultant),Equity: EAFE All Cap Value,Due Diligence Monitor -- Watchlist -- logged for MIP and Operating Plans
862046,University of Maine System Managed Investment Pool,2024-02-28T17:00:00,5,NEPC,Consultant,NEPC (Consultant),Equity: EAFE All Cap Value,Due Diligence Monitor -- Watchlist -- logged for MIP and Operating Plans
862026,University of Maine System Defined Contribution Plan - DC Plan,2024-02-28T17:00:00,11,Captrust,Consultant,Captrust (Consultant),Multiple Asset Classes,Investment Policy Monitor -- Period Ending 12.31.23
862024,University of Maine System Defined Contribution Plan - DC Plan,2024-02-28T17:00:00,95,Captrust,Consultant,Captrust (Consultant),Multiple Asset Classes,"Defined Contribution Quarterly Review -- 4th Quarter, 2023"
861784,University of Iowa Board of Regents,2024-02-28T17:00:00,40,Marquette Associates,Consultant,Marquette Associates (Consultant),Multiple Asset Classes,"Portfolio Review -- December 31, 2023"
861782,University of Iowa Board of Regents,2024-02-28T17:00:00,5,,Institutional Investor,University of Iowa Board of Regents (Institutional Investor),Multiple Asset Classes,"Investment and Cash Management Report for the Quarter Ended December 31, 2023 -- Board authorized fund managers (pgs 3-4) -- Asset Class Allocation Policy (pg 5)"
861776,Essex,2024-02-28T17:00:00,7,,Institutional Investor,Essex (Institutional Investor),Multiple Asset Classes,Responsible Investment (RI) Project Update
861775,Essex,2024-02-28T17:00:00,26,,Institutional Investor,Essex (Institutional Investor),Fixed Income: Global,Essex Pension Fund Treasury Management Strategy 2024/25 
861774,Essex,2024-02-28T17:00:00,12,Hymans Robertson,Consultant,Hymans Robertson (Consultant),Multiple Asset Classes,Q4 2023 Capital Markets Outlook
861773,Essex,2024-02-28T17:00:00,4,,Institutional Investor,Essex (Institutional Investor),Multiple Asset Classes,Schedule of Future Meetings and Events
861759,Kingston upon Thames,2024-02-28T17:00:00,42,Mercer,Consultant/Institutional Investor,Mercer (Consultant)/Kingston upon Thames (Institutional Investor),Multiple Asset Classes,Pension Fund Monitoring Report Quarter to 31 December 2023
861758,Kingston upon Thames,2024-02-28T17:00:00,11,,Institutional Investor,Kingston upon Thames (Institutional Investor),Multiple Asset Classes,Governance and Risk Update
861754,Kingston upon Thames,2024-02-28T17:00:00,12,,Institutional Investor,Kingston upon Thames (Institutional Investor),Multiple Asset Classes,Pension Fund Business Plan and Budget
861753,Kingston upon Thames,2024-02-28T17:00:00,3,,Institutional Investor,Kingston upon Thames (Institutional Investor),Multiple Asset Classes,Work Programme Update
862490,Los Angeles City ERS,2024-02-27T17:00:00,9,Aksia,Consultant/Institutional Investor,Aksia (Consultant)/Los Angeles City ERS (Institutional Investor),"Private Equity: North America Venture Capital Early Tech, Media and Communications",Notification of Commitment of up to $15 Million in General Catalyst Group XII - Ignition -- includes staff memo (pg 1) and Aksia memo (pg 4) -- logged as investment recommendation and evaluation of prospect
862489,Los Angeles City ERS,2024-02-27T17:00:00,9,Aksia,Consultant/Institutional Investor,Aksia (Consultant)/Los Angeles City ERS (Institutional Investor),"Private Equity: North America Venture Capital Early Tech, Media and Communications",Notification of Commitment of up to $15 Million in General Catalyst Group XII - Ignition -- includes staff memo (pg 1) and Aksia memo (pg 4) -- logged as investment recommendation and evaluation of prospect
862474,Los Angeles City ERS,2024-02-27T17:00:00,8,Aksia,Consultant/Institutional Investor,Aksia (Consultant)/Los Angeles City ERS (Institutional Investor),"Private Equity: North America Distressed - Turnaround Consumer, Retail & Leisure",Notification of Commitment of up to $50 Million in Clearlake Capital Partners VIII -- includes staff memo (pg 1) and Aksia memo (pg 3) -- logged as investment recommendation and evaluation of prospect
862473,Los Angeles City ERS,2024-02-27T17:00:00,8,Aksia,Consultant/Institutional Investor,Aksia (Consultant)/Los Angeles City ERS (Institutional Investor),"Private Equity: North America Distressed - Turnaround Consumer, Retail & Leisure",Notification of Commitment of up to $50 Million in Clearlake Capital Partners VIII -- includes staff memo (pg 1) and Aksia memo (pg 3) -- logged as investment recommendation and evaluation of prospect
862470,Los Angeles City ERS,2024-02-27T17:00:00,8,Aksia,Consultant/Institutional Investor,Aksia (Consultant)/Los Angeles City ERS (Institutional Investor),"Private Equity: North America Buyout Middle Market Consumer, Retail & Leisure",Notification of Commitment of up to $30 Million in FS Equity Partners IX -- includes staff memo (pg 1) and Aksia memo (pg 3) -- logged as investment recommendation and evaluation of prospect
862468,Los Angeles City ERS,2024-02-27T17:00:00,8,Aksia,Consultant/Institutional Investor,Aksia (Consultant)/Los Angeles City ERS (Institutional Investor),"Private Equity: North America Buyout Middle Market Consumer, Retail & Leisure",Notification of Commitment of up to $30 Million in FS Equity Partners IX -- includes staff memo (pg 1) and Aksia memo (pg 3) -- logged as investment recommendation and evaluation of prospect
862466,Los Angeles City ERS,2024-02-27T17:00:00,8,Aksia,Consultant/Institutional Investor,Aksia (Consultant)/Los Angeles City ERS (Institutional Investor),Private Equity: Buyout Middle Market Business Services,Notification of Commitment of up to $35 Million in Platinum Equity Small Cap Fund II  -- includes staff memo (pg 1) and Aksia memo (pg 3) -- logged as investment recommendation and evaluation of prospect
862465,Los Angeles City ERS,2024-02-27T17:00:00,8,Aksia,Consultant/Institutional Investor,Aksia (Consultant)/Los Angeles City ERS (Institutional Investor),Private Equity: Global Buyout Middle Market Business Services,Notification of Commitment of up to $35 Million in Platinum Equity Small Cap Fund II  -- includes staff memo (pg 1) and Aksia memo (pg 3) -- logged as investment recommendation and evaluation of prospect
862460,Los Angeles City ERS,2024-02-27T17:00:00,8,Aksia,Consultant/Institutional Investor,Aksia (Consultant)/Los Angeles City ERS (Institutional Investor),Private Equity: North America Buyout Middle Market Healthcare,Notification of Commitment of up to $20 Million in 3 Boomerang Capital I -- includes staff memo (pg 1) and Aksia memo (pg 3) -- logged as investment recommendation and evaluation of prospect
862459,Los Angeles City ERS,2024-02-27T17:00:00,8,Aksia,Consultant/Institutional Investor,Aksia (Consultant)/Los Angeles City ERS (Institutional Investor),Private Equity: North America Buyout Middle Market Healthcare,Notification of Commitment of up to $20 Million in 3 Boomerang Capital I -- includes staff memo (pg 1) and Aksia memo (pg 3) -- logged as investment recommendation and evaluation of prospect
862456,Los Angeles City ERS,2024-02-27T17:00:00,8,Aksia,Consultant/Institutional Investor,Aksia (Consultant)/Los Angeles City ERS (Institutional Investor),"Private Equity: Asia Pacific Buyout Large Market Consumer, Retail & Leisure",Notification of Commitment of up to $40 Million in MBK Partners Fund VI -- includes staff memo (pg 1) and Aksia memo (pg 3) -- logged as investment recommendation and evaluation of prospect
862455,Los Angeles City ERS,2024-02-27T17:00:00,8,Aksia,Consultant/Institutional Investor,Aksia (Consultant)/Los Angeles City ERS (Institutional Investor),"Private Equity: Asia Pacific Buyout Large Market Consumer, Retail & Leisure",Notification of Commitment of up to $40 Million in MBK Partners Fund VI -- includes staff memo (pg 1) and Aksia memo (pg 3) -- logged as investment recommendation and evaluation of prospect
862405,Hollywood City Employees' Retirement Fund,2024-02-27T17:00:00,2,Segal Marco Advisors,Consultant,Segal Marco Advisors (Consultant),Multiple Asset Classes,"Investment Manager Fee Table -- Period Ending December 31, 2023"
862404,Hollywood City Employees' Retirement Fund,2024-02-27T17:00:00,29,,Manager,"Angelo, Gordon & Co. (Manager)",Real Assets: Real Estate Opportunistic,Introduction to AG Realty Value Fund XI and AG Realty Value Fund X  Update (pg 12) -- logged as Prospect Presentation and Client Presentation
